Topic_0_Words,Topic_0_Probabilities,Topic_1_Words,Topic_1_Probabilities,Topic_2_Words,Topic_2_Probabilities,Topic_3_Words,Topic_3_Probabilities,Topic_4_Words,Topic_4_Probabilities,Topic_5_Words,Topic_5_Probabilities,Topic_6_Words,Topic_6_Probabilities,Topic_7_Words,Topic_7_Probabilities,Topic_8_Words,Topic_8_Probabilities,Topic_9_Words,Topic_9_Probabilities,Topic_10_Words,Topic_10_Probabilities,Topic_11_Words,Topic_11_Probabilities,Topic_12_Words,Topic_12_Probabilities,Topic_13_Words,Topic_13_Probabilities,Topic_14_Words,Topic_14_Probabilities,Topic_15_Words,Topic_15_Probabilities,Topic_16_Words,Topic_16_Probabilities,Topic_17_Words,Topic_17_Probabilities,Topic_18_Words,Topic_18_Probabilities,Topic_19_Words,Topic_19_Probabilities,Topic_20_Words,Topic_20_Probabilities,Topic_21_Words,Topic_21_Probabilities,Topic_22_Words,Topic_22_Probabilities,Topic_23_Words,Topic_23_Probabilities,Topic_24_Words,Topic_24_Probabilities,Topic_25_Words,Topic_25_Probabilities,Topic_26_Words,Topic_26_Probabilities,Topic_27_Words,Topic_27_Probabilities,Topic_28_Words,Topic_28_Probabilities,Topic_29_Words,Topic_29_Probabilities
bbc,0.010071325,greed,0.007668843,diz,0.01060569,day,0.008781228,ahead,0.0065459074,host,0.007184253,lol,0.00951171,read,0.0058596814,janeiro,0.009259511,live,0.007967635,nyt,0.007678672,news,0.0061930334,love,0.010429455,uribe,0.008127283,news,0.010192477,day,0.016151572,love,0.006396585,love,0.008119238,cont,0.006874821,cup,0.008468353,omg,0.019338332,tbh,0.006969574,gop,0.008320145,ajc,0.006965189,short,0.0066538514,chinese,0.006303426,google,0.006533365,subgroup,0.006051909,para,0.011476301,inn,0.006692829
wikileaks,0.0075504207,american,0.006145202,para,0.009097752,assange,0.0044268174,artsbeat,0.004457298,wikileaks,0.00608402,wikileaks,0.006806919,time,0.00585968,brasileiro,0.009259511,lol,0.0059921523,follow,0.0062074508,wikileaks,0.006166063,god,0.009170484,sus,0.005447899,wikileaks,0.008923695,today,0.0132237645,market,0.005930506,dont,0.006961191,amazon,0.0068748184,wikileaks,0.006368726,free,0.017371185,labour,0.006969574,complain,0.0050140666,julian,0.0069651157,nyt,0.0066538504,europe,0.006303424,good,0.0055543645,man,0.006051909,wikileaks,0.007704028,german,0.004486343
aids,0.006002544,wikileaks,0.0046443255,wikileaks,0.0076110903,cbs,0.0044268174,amazing,0.004457298,blog,0.006030722,qatar,0.006806914,panel,0.0058596698,tornouse,0.009259511,impact,0.005992151,bush,0.0061530783,rock,0.0061593964,dont,0.007650489,todos,0.005447899,man,0.006386109,aids,0.008832066,twitter,0.0053036073,jobs,0.0059714275,polhukam,0.004608338,bid,0.0063687195,iphone,0.016274188,contd,0.006969574,day,0.0050140657,assange,0.0069651157,wikileaks,0.006248157,pic,0.0042253165,yahoo,0.005554299,una,0.004056716,ipad,0.005769776,tumors,0.004486343
france,0.0060018585,dont,0.0046215556,people,0.004690514,hiv,0.0044268174,wikileaks,0.004457298,life,0.00603072,today,0.0054929857,buen,0.00392786,rio,0.009259511,assange,0.005992147,mejor,0.006153078,year,0.0046372474,good,0.007647133,una,0.005447899,dog,0.0038485231,great,0.008832065,cuts,0.004810615,tax,0.0049816645,appeal,0.004608338,england,0.0063687195,hurry,0.015832897,lol,0.0069695734,rich,0.0050140657,atlanta,0.0052382443,dax,0.005331865,dun,0.0042253165,year,0.005334508,basel,0.004056716,poll,0.0057697743,wikileaks,0.004486343
euro,0.005327166,free,0.0034581597,google,0.0046584182,parece,0.0044268174,founder,0.004457298,cup,0.006030664,love,0.0054545207,por,0.00392786,paradigma,0.009259511,online,0.0059921457,gop,0.004627483,death,0.004637243,lol,0.0061304965,uribista,0.005447899,today,0.0038485224,der,0.0044403556,good,0.004810615,care,0.004981448,court,0.004608338,dick,0.004269088,delivered,0.015832897,good,0.006969573,aids,0.0050140657,cont,0.005238243,buy,0.0052709565,kings,0.0042253165,news,0.0044344887,art,0.004056716,internet,0.0045116753,season,0.004486343
politico,0.0045142714,america,0.0032539053,england,0.004573932,lol,0.0044268174,court,0.004457298,good,0.0045354613,assange,0.005454519,bien,0.00392786,crime,0.009259511,freaking,0.0040166583,blowing,0.0046274825,james,0.004637241,day,0.006130493,gente,0.005447899,day,0.0038485185,hosting,0.004440354,vegas,0.004810615,health,0.004981448,ribs,0.004608338,cheney,0.004269088,wikileaks,0.0070949118,live,0.0069695716,news,0.005014063,wikileaks,0.005238242,iphone,0.004992786,korea,0.0042253165,wikileaks,0.004393919,para,0.004056716,case,0.003921374,thai,0.0044863415
inn,0.004514271,como,0.0030979095,site,0.004573932,hamas,0.004426816,science,0.004457298,dont,0.0045354604,cup,0.0054545184,qui,0.0039278595,combate,0.009259511,cont,0.0040166583,healthday,0.0046274825,big,0.004637241,debt,0.0046105003,escalon,0.005447899,small,0.0038485175,forward,0.0044403444,god,0.004810615,cuts,0.0041317595,nasdem,0.004608338,case,0.004269088,para,0.003563738,peter,0.004671853,dont,0.0050030034,wat,0.0035112908,cable,0.004009875,ready,0.0042253165,aids,0.00417721,chrome,0.004056716,plan,0.0039189346,great,0.0044863415
mcot,0.004514271,movie,0.0030979095,mais,0.004573931,por,0.004426816,radio,0.0044572973,david,0.004535383,bring,0.00410212,eminem,0.0039278585,social,0.0055801733,car,0.0040166583,peor,0.0046274825,live,0.004637235,faith,0.0046104984,cree,0.0027684802,takes,0.0025797198,love,0.004402246,las,0.004810615,cars,0.003991897,wikileaks,0.0046083373,issue,0.004269088,trs,0.003563738,shake,0.0046718526,poverty,0.0033610184,georgia,0.0035112908,plans,0.003915228,death,0.004225316,day,0.00417721,dcembre,0.0040567154,buy,0.003916284,ready,0.004486341
welt,0.004514271,deal,0.0030979095,gps,0.004573931,ser,0.004426816,library,0.0044572973,england,0.004535382,crawl,0.00410212,book,0.0039278585,dreidl,0.0055801724,gop,0.0040166583,cont,0.0046274825,love,0.0031110025,cuddle,0.004610497,desagravio,0.0027684802,ecurrency,0.0025797198,zwei,0.0029764427,tax,0.004810615,news,0.0037791901,assange,0.0046083373,warrant,0.004269088,site,0.0035637366,sport,0.0046718516,tax,0.0033610184,wgclcbs,0.0035112908,december,0.0038849737,republican,0.0042253155,dont,0.00417721,pour,0.0040567154,por,0.0038675943,bangkok,0.0044863406
day,0.004514271,bactria,0.0030979095,wonderful,0.004573926,evacuated,0.004426816,day,0.004457295,people,0.0032834983,mccann,0.00410212,days,0.003927854,today,0.0039424603,german,0.004016658,time,0.0046245903,onu,0.003108426,cuz,0.004610497,exuribista,0.0027684802,prince,0.0025797198,jahre,0.0029764427,obama,0.004810614,wall,0.0034392434,seoul,0.0046083364,interpol,0.004269088,burada,0.0035637366,fighting,0.0046718516,cuts,0.0033610184,wiv,0.0035112908,forget,0.002797629,win,0.0042253155,para,0.004177209,freud,0.0040567154,fundador,0.0038675943,doctors,0.0022798209
