"Id";"Word";"StartIndex";"EndIndex";"Score";"ConceptId";"NewsId";"NewsSectionTypeCode"
1;"pm";23;25;0.02293;24109;6814;1
2;"Drop";33;37;0.0101;1658766;6814;1
3;"Lineup";64;70;0.13837;886957;6814;1
4;"ARLINGTON";86;95;0.13963;95815;6814;1
5;"Pat Burrell";124;135;0.62922;42155654;6814;1
6;"World Series";150;162;0.36544;23489161;6814;1
7;"Philadelphia";177;189;0.25211;50585;6814;1
8;"hitless";199;206;0.20942;3807;6814;1
9;"at-bats";223;230;0.15288;36309587;6814;1
10;"dire";261;265;0.0031;36673574;6814;1
11;"territory";266;275;0.03019;38631600;6814;1
12;"quest";285;290;0.03292;33660916;6814;1
13;"Texas";317;322;0.23235;32031;6814;1
14;"will";323;327;0.02048;77697;6814;1
15;"wait";336;340;0.01696;24559410;6814;1
16;"another day";350;361;0.03232;4125524;6814;1
17;"Sunday";412;418;0.12855;4315483;6814;1
18;"striking out";434;446;0.24397;242813;6814;1
19;"plate appearances";459;476;0.20465;42155675;6814;1
20;"Saturday night";477;491;0.07881;763013;6814;1
21;"games";507;512;0.1233;3814;6814;1
22;"eight";533;538;0.0133;208174;6814;1
23;"strikeouts";539;549;0.16589;242813;6814;1
24;"bad";563;566;0.01789;1782176;6814;1
25;"struggle";575;583;0.01011;16203;6814;1
26;"there’s no way";585;599;0.01971;12780772;6814;1
27;"after Game";625;635;0.00807;36549893;6814;1
28;"Game 3";631;637;0.12182;42155688;6814;1
29;"I’m";640;643;0.01043;27702280;6814;1
30;"getting";644;651;0.01691;2408964;6814;1
31;"pitches";652;659;0.12914;514642;6814;1
32;"anything";683;691;0.00827;32402094;6814;1
33;"chasing";704;711;0.0034;36549583;6814;1
34;"balls";717;722;0.13098;37407328;6814;1
35;"postseason";763;773;0.15359;41733809;6814;1
36;"managers";780;788;0.17703;501672;6814;1
37;"same core";801;810;0.00551;41725782;6814;1
38;"core";806;810;0.02581;3372377;6814;1
39;"group";811;816;0.01132;20180;6814;1
40;"game. Manager";863;876;0.05635;42155708;6814;1
41;"Bruce Bochy";877;888;0.63237;36309528;6814;1
42;"differently";898;909;0.00114;17872231;6814;1
43;"benching";915;923;0.01529;37005157;6814;1
44;"is consistent";932;945;0.03448;37979362;6814;1
45;"philosophy";955;965;0.10614;13692155;6814;1
46;"center fielder";975;989;0.41583;583923;6814;1
47;"Andres Torres";990;1003;0.6081;42155720;6814;1
48;"National League Championship Series";1025;1060;0.47561;40621762;6814;1
49;"him";1080;1083;0.00918;10111;6814;1
50;"Pablo Sandoval";1085;1099;0.60592;42155727;6814;1
51;"Mike Fontenot";1104;1117;0.61156;42155728;6814;1
52;"bench";1126;1131;0.02269;641570;6814;1
53;"now";1132;1135;0.03752;873021;6814;1
54;"infield";1163;1170;0.16012;41337638;6814;1
55;"rotation";1171;1179;0.05073;39789;6814;1
56;"position players";1199;1215;0.13504;3851;6814;1
57;"started";1225;1232;0.14538;474275;6814;1
58;"times";1246;1251;0.03531;39127;6814;1
59;"playoffs";1259;1267;0.08988;74678;6814;1
60;"others";1281;1287;0.0034;1431468;6814;1
61;"one";1311;1314;0.0434;19969891;6814;1
62;"start";1315;1320;0.14645;474275;6814;1
63;"best";1349;1353;0.00711;426381;6814;1
64;"defensive";1354;1363;0.08323;228100;6814;1
65;"configuration";1364;1377;0.02434;5918;6814;1
66;"Nate Schierholtz";1391;1407;0.60189;42155756;6814;1
67;"patrolling";1408;1418;0.00349;36946135;6814;1
68;"right field";1419;1430;0.26278;1137990;6814;1
69;"Travis Ishikawa";1435;1450;0.6038;42155763;6814;1
70;"first base";1454;1464;0.28995;581933;6814;1
71;"moving";1466;1472;0.03361;20580;6814;1
72;"Aubrey Huff";1473;1484;0.62558;36779141;6814;1
73;"designated hitter";1488;1505;0.59613;36377847;6814;1
74;"somebody";1511;1519;0.00752;3079452;6814;1
75;"seeing";1533;1539;0.02595;21280496;6814;1
76;"ball";1544;1548;0.11513;967743;6814;1
77;"well";1552;1556;0.00804;15105978;6814;1
78;"we";1558;1560;0.01772;65758;6814;1
79;"break";1573;1578;0.01337;652595;6814;1
80;"else";1601;1605;0.00085;10638953;6814;1
81;"out there";1606;1615;0.01114;2197222;6814;1
82;"ve";1641;1643;0.02212;215257;6814;1
83;"everybody";1670;1679;0.01709;2288523;6814;1
84;"that’s what";1685;1696;0.00067;7053288;6814;1
85;"sixth";1739;1744;0.01429;37569252;6814;1
86;"strike out";1755;1765;0.19309;242813;6814;1
87;"Josh Devore";1835;1846;0.54704;42155795;6814;1
88;"New York Giants";1853;1868;0.65141;28416;6814;1
89;"Mickey Mantle";1871;1884;0.64185;40896926;6814;1
90;"Yankees";1891;1898;0.1971;4848143;6814;1
91;"Devon White";1901;1912;0.60929;42155808;6814;1
92;"Marlins";1919;1926;0.16469;11278;6814;1
93;"Brad Hawpe";1929;1939;0.59401;38863153;6814;1
94;"Rockies";1946;1953;0.18139;36334867;6814;1
95;"Ryan Howard";1959;1970;0.64419;37017972;6814;1
96;"Phillies";1977;1985;0.18002;23741;6814;1
97;"tied";2010;2014;0.05047;609528;6814;1
98;"single";2039;2045;0.16618;300734;6812;1
99;"record";2060;2066;0.13489;300785;6812;1
100;"set";2067;2070;0.02197;26691;6812;1
